# CMAC-AES-256
# From NIST SP_800-38B

[L = 16]

# Three Key
Klen = 16
Tlen = 16
Len = 0
Key = 603deb1015ca71be2b73aef0857d77811f352c073b6108d72d9810a30914dff4
Msg = ""
Mac = 028962f61b7bf89efc6b551f4667d983

Klen = 16
Tlen = 16
Len = 16
Key = 603deb1015ca71be2b73aef0857d77811f352c073b6108d72d9810a30914dff4
Msg = 6bc1bee22e409f96e93d7e117393172a
Mac = 28a7023f452e8f82bd4bf28d8c37c35c

Klen = 16
Tlen = 16
Len = 40
Key = 603deb1015ca71be2b73aef0857d77811f352c073b6108d72d9810a30914dff4
Msg = 6bc1bee22e409f96e93d7e117393172aae2d8a571e03ac9c9eb76fac45af8e5130c81c46a35ce411
Mac = aaf3d8f1de5640c232f5b169b9c911e6

Klen = 16
Tlen = 16
Len = 64
Key = 603deb1015ca71be2b73aef0857d77811f352c073b6108d72d9810a30914dff4
Msg = 6bc1bee22e409f96e93d7e117393172aae2d8a571e03ac9c9eb76fac45af8e5130c81c46a35ce411e5fbc1191a0a52eff69f2445df4f9b17ad2b417be66c3710
Mac = e1992190549f6ed5696a2c056c315410
